metros_cuadrados,baños,habitaciones,material,modelo,empresa,precio
154.0,2.0,3.0,madera,Modelo 150,Nordikasa,
198.0,1.0,1.0,madera,OKA Suvila,OKA Room,26000.0
47.0,1.0,1.0,"acero,madera",House 130,STUDIOTEC,65800.0
54.0,1.0,2.0,acero,Project 54,H.C.I Ecoedificación,
72.0,1.0,2.0,madera,Modelo Fresno,Grupo CUNI,108000.0
53.0,1.0,2.0,madera,Casa 53,Madercás,
88.0,2.0,3.0,madera,Modelo Júcar,ABS American Building System,111080.0
142.0,2.0,4.0,madera,Modelo 1.5,MeniArt,
55.0,1.0,2.0,acero,Modelo 55002,Pro-Gal Construcciones Prefabricadas,54580.0
221.0,3.0,3.0,madera,Tuluza,Casastar,
72.0,2.0,3.0,acero,Kube 3,Geacon,74250.0
130.0,2.0,2.0,acero,Modelo 1P T2 R04,Modiko,
110.0,2.0,3.0,acero,Valdeavellano,Soria Modular,
165.0,2.0,3.0,acero,Galileo,Oyrsa Modular,
91.0,2.0,3.0,madera,Modelo Vesna,MonteBálsamo,
302.0,4.0,4.0,acero,Modelo 1P T4 L02,Modiko,
64.0,1.0,2.0,madera,Casa 64,Madercás,
81.0,2.0,2.0,madera,Alabama 2D,Alucasa,104930.0
309.0,3.0,3.0,madera,Smart 309,Madereco,
112.0,2.0,3.0,madera,Casa 90,Madercás,
90.0,1.0,3.0,madera,Guadalajara,Mi Casa de Madera,114070.0
59.0,1.0,2.0,madera,Soto 58,Madereco,
250.0,3.0,4.0,acero,Modelo Passivhaus 250,CSO ARQUITECTURA,331500.0
242.0,2.0,4.0,madera,Ivalo,Forest House,363000.0
280.0,3.0,4.0,acero,Modelo 1P T4 U01,Modiko,
66.0,1.0,3.0,madera,Modelo Kempes,MonteBálsamo,
154.0,1.0,3.0,madera,Cristal,Casastar,
98.0,2.0,3.0,acero,Eco-Live,Acero Eco Home,
159.0,3.0,3.0,madera,Modelo TKM-204,Tokamadera,230550.0
120.0,1.0,3.0,madera,Tarragona,Mi Casa de Madera,149710.0
90.0,1.0,2.0,acero,Cubic 90,Cubic House,145133.0
156.0,2.0,3.0,hormigón,Modelo Abla,Diseño Modular,179400.0
95.0,2.0,3.0,madera,Modelo 1.6,MeniArt,
72.0,2.0,2.0,"acero,hormigón",Doñana,Home Center,69300.0
164.0,1.0,2.0,madera,Wais,Kolbeg,254200.0
238.0,2.0,4.0,acero,Berossus,Oyrsa Modular,
260.0,2.0,2.0,madera,Mallorca,LuxServis Eco Edificaciones,260000.0
191.0,2.0,2.0,madera,Muster,TUCASAECO SOSTENIBLE,
258.0,3.0,4.0,madera,Aron,Casastar,
90.0,2.0,2.0,acero,Modelo 90,Shekari,175000.0
115.0,2.0,4.0,madera,Imada,Madelar,
163.0,2.0,3.0,madera,Solnech,Casastar,
309.0,3.0,3.0,madera,Smart 309,Madereco,
110.0,1.0,2.0,madera,Markki 1-storey,Forest House,165000.0
191.0,2.0,3.0,hormigón,Mukava,Hormitech,270000.0
110.0,2.0,3.0,hormigón,Gama,Modunova,
180.0,1.0,3.0,madera,Denia,LuxServis Eco Edificaciones,180000.0
182.0,1.0,4.0,madera,Olympia M,TUCASAECO SOSTENIBLE,
60.0,1.0,2.0,madera,Logroño,Mi Casa de Madera,78430.0
310.0,4.0,4.0,acero,Eco-Zen,Acero Eco Home,
128.0,1.0,3.0,hormigón,Tramontana,Modunova,
131.0,3.0,2.0,acero,Modelo Passivhaus 135,CSO ARQUITECTURA,156500.0
260.0,2.0,2.0,madera,Modelo TKM-212,Tokamadera,377000.0
39.0,1.0,1.0,acero,Dina,Casas Prefabricadas López S.L.,
55.0,1.0,2.0,madera,Modelo 55003,Pro-Gal Construcciones Prefabricadas,55000.0
36.0,1.0,2.0,acero,Campus,Casas Prefabricadas López S.L.,
90.0,1.0,3.0,madera,Huesca,Mi Casa de Madera,114070.0
70.0,2.0,3.0,madera,Madrid,Mi Casa de Madera,75999.0
308.0,3.0,4.0,madera,Diuna,Casastar,
72.0,2.0,3.0,acero,Kube 3,Geacon,74250.0
55.0,1.0,2.0,hormigón,Alisio Porche,Modunova,
342.0,4.0,4.0,madera,Cabuerniga 342,Madereco,
102.0,1.0,3.0,acero,ECO-LINEA 102.3.1,Wigarma,
79.0,1.0,2.0,madera,Casa 79,Madercás,
118.0,2.0,3.0,madera,Anna,Las Casas Modulares,167560.0
131.0,3.0,2.0,acero,Modelo Passivhaus 135,CSO ARQUITECTURA,156500.0
80.0,1.0,2.0,hormigón,Modelo T1,"Forpol Estructuras, S.L.",104000.0
132.0,2.0,2.0,madera,Casa 132,Madercás,
85.0,2.0,3.0,madera,Esther,Mi Casa de Madera,108367.0
100.0,2.0,3.0,hormigón,Indie,Modunova,
145.0,2.0,3.0,acero,PREMIER 145.3.2,Wigarma,
10.0,1.0,1.0,madera,Mini Plus,Serena.House,39811.0
60.0,1.0,3.0,madera,Modelo 60001,Pro-Gal Construcciones Prefabricadas,60000.0
26.0,1.0,1.0,acero,Numancia,Cortabitarte,23500.0
103.0,2.0,3.0,acero,Project 103 CP,H.C.I Ecoedificación,
118.0,2.0,3.0,madera,Anna,Las Casas Modulares,167560.0
93.0,2.0,4.0,madera,Modelo CM 30,Casas Nuevas Low Cost,76800.0
148.0,2.0,3.0,madera,Alpina,Casastar,
223.0,2.0,3.0,acero,Modelo 1P T3 R7,Modiko,
83.0,1.0,2.0,madera,Modelo Kopayti,Grupo CUNI,124500.0
59.0,1.0,2.0,madera,Modelo CM 10,Casas Nuevas Low Cost,51800.0
